group,year,#wounded,#killed,#killed_civilian,#killed_political,#killed_security,country,city,location,latitude,longtitude,target_desc,target_type
Palestinian Islamic Jihad,2003,0,2,2,0,0,Israel,Kfar Yavets,Residential Home house in Kfar Yavetz,32.274887,34.964597,Israeli Residents,Civilian
Al-Aqsa Martyrs Brigade,2003,0,2,2,0,0,Israel,Kfar Yavets,Residential Home house in Kfar Yavetz,32.274887,34.964597,Israeli Residents,Civilian
Palestinian Islamic Jihad,2003,41.5,1,0,0,0,Israel,Natanya,London Caf_ Independence Square,32.33292,34.85992,Israeli Troops,Security
Palestinian Islamic Jihad,2003,0,1,1,0,0,Israel,Beit Shean,Grocery Store Moshav Sde Trumot,32.49728,35.49632,Grocery Store,Civilian
Palestinian Islamic Jihad,2003,40,3,3,0,0,Israel,Afula,Mall,32.609885,35.290105,Amakim Shopping Mall,Civilian
Hamas,2003,42.5,16,16,0,0,Israel,Haifa,Moreah Street Karmaliya Neighborhood,32.8155556,34.9891667,Public Bus #37 transporting Israeli civilians,Civilian
Palestinian Islamic Jihad,2003,58.5,20,20,0,0,Israel,Haifa,Restaurant near the beachfront in Haifa,32.8155556,34.9891667,Israeli civilians at Maxim Restaurant,Civilian
Assirat al-Moustaqim,2003,0,3,3,0,0,Morocco,Casablanca,Jewish cemetery and cultural center in heart of Casablanca,33.593,-7.616,Jewish Cemetery,Civilian
Al-Qaeda Central,2003,0,3,3,0,0,Morocco,Casablanca,Jewish cemetery and cultural center in heart of Casablanca,33.593,-7.616,Jewish Cemetery,Civilian
Assirat al-Moustaqim,2003,15,2,2,0,0,Morocco,Casablanca,Hotel Entrance of Farah Hotel,33.593,-7.616,Farah Hotel,Civilian
Al-Qaeda Central,2003,15,2,2,0,0,Morocco,Casablanca,Hotel Entrance of Farah Hotel,33.593,-7.616,Farah Hotel,Civilian
Al-Qaeda Central,2003,0,3,3,0,0,Morocco,Casablanca,Jewish Community Center,33.593,-7.616,Jewish Community Center,Civilian
Assirat al-Moustaqim,2003,0,3,3,0,0,Morocco,Casablanca,Jewish Community Center,33.593,-7.616,Jewish Community Center,Civilian
Al-Qaeda Central,2003,10,2,2,0,0,Morocco,Casablanca,Restaurant Positano Italian Restaurant,33.593,-7.616,Positano Italian Restaurant,Civilian
Assirat al-Moustaqim,2003,10,2,2,0,0,Morocco,Casablanca,Restaurant Positano Italian Restaurant,33.593,-7.616,Positano Italian Restaurant,Civilian
Assirat al-Moustaqim,2003,70,20,20,0,0,Morocco,Casablanca,Restaurant N/A,33.593,-7.616,"""Casa de Espana"" Spanish Club and Restaurant",Civilian
Al-Qaeda Central,2003,70,20,20,0,0,Morocco,Casablanca,Restaurant N/A,33.593,-7.616,"""Casa de Espana"" Spanish Club and Restaurant",Civilian
Lashkar-e Jhangvi al-Almi,2003,53.5,42.5,40.5,0,0,Pakistan,Quetta,Mosque Inside Hazara Mosque,30.19,67.01,Shia Hazara mosque,Civilian
Unknown Group,2003,5,0,0,0,0,Pakistan,Jhang,Retail Shop Mohalla Jogiyanwala,30.35,71.39,Fodder shop near Imambargah Shi'a mosque,Civilian
Jaish-e-Muhammad,2003,48.5,16,14,0,2,Pakistan,Rawalpindi,Gas Station,33.6,73.07,Pakistani President Pervez Musharraf [survived],Political
Harakat ul-Mujahidin,2003,48.5,16,14,0,2,Pakistan,Rawalpindi,Gas Station,33.6,73.07,Pakistani President Pervez Musharraf [survived],Political
Al-Aqsa Martyrs Brigade,2003,0,0,0,0,0,Palestine,Kefar Darom (S),Near Kfar Darom Settlement,31.4,34.36,Israeli Defense Forces (IDF) tank,Security
Hamas,2003,3,0,0,0,0,Palestine,Kefar Darom (S),Kfar Darom Israeli Settlement,31.4,34.36,Israeli Defense Forces (IDF) patrol jeep,Security
Hamas,2003,4,0,0,0,0,Palestine,Gaza City,Northern Gaza Strip Coastline,31.5,34.47,Israeli Navy Patrol Boat,Security
Hamas,2003,0,4,0,0,0,Palestine,Gaza City,Shajaiyeh Neighborhood,31.5,34.47,Israeli Defense Forces (IDF) Tank,Security
Hamas,2003,1,1.5,1.5,0,0,Palestine,Hebron (S),Old Quarter of Hebron,31.52935,35.0938,Israeli Settlers,Civilian
Hamas,2003,2,1.5,0,0,0,Palestine,Ariel (S),Near Bus Stop Entrance to Ariel,32.1065,35.18449,Israeli Security Forces,Security
Al-Aqsa Martyrs Brigade,2003,0.5,0,0,0,0,Palestine,Azun,Azun al Atmeh Village,32.176483,35.059564,Israeli Defense Forces (IDF) Convoy,Security
Al-Aqsa Martyrs Brigade,2003,3,0,0,0,0,Palestine,Tulkarm,Outskirts of Tulkarem,32.31037,35.02863,Government-Distrct Coordination Office (DCO),Political
Riyadus Salikhiin,2003,34,3,0,0,3,Russia,Magas,regional hq of Russia's FSB security service,43.22,44.7726,Regional Federal Security Service (FSB) Headquarters,Security
Riyadus Salikhiin,2003,34,3,0,0,3,Russia,Magas,regional hq of Russia's FSB security service,43.22,44.7726,Regional Federal Security Service (FSB) Headquarters,Security
Unknown Group,2003,0,1,1,0,0,Russia,Tsatsan-Yurt,Security force base in the village of Tsotsan-Yurt in the Kurchaloi district,43.238056,46,Ramzan Kadyrov [survived] son of acting President Akhmat Kadyrov and head of his security service,Security
Unknown Group,2003,97.5,14.5,9.5,0,5,Russia,Ilaskhani-Yurt,Religious Festival,43.2803297,46.1094475,Chechen pro-Russian leader Akhmad Kadyrov [survived],Political
Riyadus Salikhiin,2003,27,3,0,0,3,Russia,Grozny,Staropromyslovksy District,43.32,45.68,Chechen governmental complex,Political
Riyadus Salikhiin,2003,27,3,0,0,3,Russia,Grozny,Staropromyslovksy District,43.32,45.68,Chechen governmental complex,Political
Unknown Group,2003,200,40.5,19,0,21.5,Russia,Znamenskoye,FSB building past concrete barrier,43.6753,45.1276,Russian Federal Security Service (FSB) building,Security
Unknown Group,2003,200,40.5,19,0,21.5,Russia,Znamenskoye,FSB building past concrete barrier,43.6753,45.1276,Russian Federal Security Service (FSB) building,Security
Riyadus Salikhiin,2003,13.5,17.5,0,0,17.5,Russia,Mozdok,Mozdok Suburb,43.74358,44.65176,Bus of Russian military helicopter pilots and technicians,Security
Unknown Group,2003,79,36,0,0,36,Russia,Mozdok,Ground of local military Hospital in Mozdok,43.74358,44.65176,Russian Military Forces at Military Hospital,Security
Riyadus Salikhiin,2003,150,36,36,0,0,Russia,Essentuki,Train Station Essentuki Station,44.03,42.85,Kislovodsk-Yessentuki Commuter Train,Civilian
Unknown Group,2003,50,15,15,0,0,Russia,Moscow,Tushino,55.75,37.582,Krylya Rock Festival,Civilian
Riyadus Salikhiin,2003,12,5.5,5.5,0,0,Russia,Moscow,Mokhovaya Street near the National Hotel across from the Kremlin,55.75,37.582,Russian national parliament (Duma),Political
Al-Qaeda Central,2003,100,17.5,17.5,0,0,Saudi Arabia,Riyadh,Wadi Laban suburb,24.672,46.713,The al-Muhaya Residential complex a mixed residential compound with some western families,Civilian
Al-Qaeda Central,2003,30,5,5,0,0,Saudi Arabia,Riyadh,Garnata Area,24.672,46.713,Dorrat Al Jadawel Compound,Civilian
Al-Qaeda Central,2003,110,11,11,0,0,Saudi Arabia,Riyadh,Garnata Area,24.672,46.713,Al-Hamra Residential Compound,Civilian
Al-Qaeda Central,2003,60,13,3,0,10,Saudi Arabia,Riyadh,Garnata Area,24.672,46.713,Vinnell Residential Compound,Security
Great Eastern Islamic Raiders Front,2003,150,12,12,0,0,Turkey,Istanbul,Synagogue Sisli District,41.017,28.967,Beth Israel Synagogue,Civilian
Al-Qaeda Central,2003,150,12,12,0,0,Turkey,Istanbul,Synagogue Sisli District,41.017,28.967,Beth Israel Synagogue,Civilian
Great Eastern Islamic Raiders Front,2003,150,13,13,0,0,Turkey,Istanbul,Synagogue Beyoglu District,41.017,28.967,Neve Shalon Synagogue,Civilian
Al-Qaeda Central,2003,150,13,13,0,0,Turkey,Istanbul,Synagogue Beyoglu District,41.017,28.967,Neve Shalon Synagogue,Civilian
Al-Qaeda Central,2003,43,14,3,0,0,Turkey,Istanbul,Bank outside the offices of HSBC Bank,41.017,28.967,HSBC Bank,Civilian
Great Eastern Islamic Raiders Front,2003,43,14,3,0,0,Turkey,Istanbul,Bank outside the offices of HSBC Bank,41.017,28.967,HSBC Bank,Civilian
Great Eastern Islamic Raiders Front,2003,286.5,16,16,0,0,Turkey,Istanbul,Consulate Beyoglu,41.017,28.967,British Consulate,Political
Al-Qaeda Central,2003,286.5,16,16,0,0,Turkey,Istanbul,Consulate Beyoglu,41.017,28.967,British Consulate,Political
Taliban (IEA),2004,6,2,1,0,1,Afghanistan,Kabul,Main Eastern Highway,34.53,69.17,NATO-ISAF military convoy,Security
Taliban (IEA),2004,0,2,1,0,1,Afghanistan,Kabul,"At a large ""rut"" or pothole in a Kabul street",34.53,69.17,NATO-ISAF patrol,Security
Taliban (IEA),2004,6,2,2,0,0,Afghanistan,Kabul,Chicken Street,34.53,69.17,NATO-ISAF troops,Security
Unknown Group,2004,8,1,0,0,1,Bolivia,La Paz,Central Legislative Chamber Bolivian Congress Offices,-16.5,-68.15,Bolivian Congress,Political
Abdullah Azzam Brigades,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Abdullah Azzam Brigades,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Palestinian Islamic Jihad,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Palestinian Islamic Jihad,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Jamaa Al-Islamiya Al-Alamiya,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Jamaa Al-Islamiya Al-Alamiya,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Al-Qaeda Central,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Al-Qaeda Central,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Islamic Unity Brigades,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Islamic Unity Brigades,2004,121,25,25,0,0,Egypt,Taba,Hotel Hilton Taba Hotel,29.5,34.883333,Israeli tourists,Civilian
Unknown Group,2004,4,0,0,0,0,India,Srinagar,Near Sundervani Village,34.083,74.817,Indian Army Camp,Security
Jaish-e-Muhammad,2004,18.5,3.5,1,0,2.5,India,Pattan,Srinagar-Baramula National Highway,34.16111,74.55554,Indian Army military convoy,Security
Jemaah Islamiya,2004,180,8.5,8.5,0,0,Indonesia,Jakarta,Kuningan business district,-6.214951,106.836225,Australian Embassy,Political
Jama'at Al-Tawhid Wa'al-Jihad,2004,4.5,2.5,0,0,2.5,Iraq,Mina Al Bakr,Persian Gulf,29.68,48.8,Khor Al-Amaya Oil Terminal,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,0,3,0,0,3,Iraq,Basrah,Port Basra oil termina,30.53,47.79,Oil tankers at oil port,Civilian
Unknown Group,2004,0,2.5,2.5,0,0,Iraq,Basrah,near the Buraq hotel on Al-Istiqlal street in the city center,30.53,47.79,a British military patrol,Security
Unknown Group,2004,100,69,60,0,9,Iraq,Basrah,Next to Basrah's main street market,30.53,47.79,Iraqi Police station,Security
Al-Qaeda in Iraq,2004,103.5,42,42,0,0,Iraq,Najaf,Shrine Near Imam Ali Shrine,31.99,44.33,Iraqi Shia procession,Civilian
Unknown Group,2004,7,0,0,0,0,Iraq,Najaf,Rally for Moqtada al-Sadr a radical shiite cleric,31.99,44.33,US military patrol,Security
Unknown Group,2004,6.5,0,0,0,0,Iraq,Hillah,House of the provincial police chief,32.48,44.43,Brigadier General Qais Hamza (survived),Security
Unknown Group,2004,0,0,0,0,0,Iraq,Hillah,Convoy of police,32.48,44.43,Hilla Police chief,Security
Unknown Group,2004,67.5,8,8,0,0,Iraq,Hillah,Polish military base,32.48,44.43,Polish military base,Security
Al-Qaeda in Iraq,2004,33.5,14,14,0,0,Iraq,Karbala,Bus Station next to Holy Imam Abbas Mosque,32.61,44.02,Bus Station,Civilian
Unknown Group,2004,0,0,0,0,0,Iraq,Karbala,Near police checkpoint in Haye Al-Saif,32.61,44.02,Iraqi Police,Security
Ansar al-Sunna,2004,24,5,0,0,5,Iraq,Mahawil,Mawahil Police Station,32.65,44.4,Iraqi Police station,Security
Unknown Group,2004,0,2,0,0,2,Iraq,Traybil,Karameh Border Crossing,32.74,39.02,Coalition miltary checkpoint,Security
Unknown Group,2004,2,0,0,0,0,Iraq,Iskandariyah,Near Camp Dogwood,32.87,44.34,Black Watch checkpoint,Security
Unknown Group,2004,8,3.5,0,0,3.5,Iraq,Iskandariyah,Near Camp Dogwood,32.87,44.34,Black Watch checkpoint,Security
Unknown Group,2004,0,52.5,0,0,52.5,Iraq,Iskandariyah,Police Station,32.87,44.34,Iraqi Police recruits,Security
Unknown Group,2004,2,1.5,0.5,0,0.5,Iraq,Latifiyah,Green Zone security compound surrounding foreign embassies and Iraqi government ministries,32.963756,44.355142,Coalition miltary checkpoint,Security
Unknown Group,2004,4,8,0,0,8,Iraq,Mahmudiyah,Unspecified in Mahmudiyah,33.056858,44.363841,Coalition military foot patrol,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,0,0,0,0,0,Iraq,Abu Ghurayb,Abu Ghraib Prison,33.297926,44.081472,U.S.-run Abu Ghraib Prison,Security
Al-Qaeda in Iraq,2004,36.5,5,0,0,5,Iraq,Abu Ghurayb,Outside US-run Abu Ghraib Prison,33.297926,44.081472,US military patrol patrolling the prison perimeter,Security
Unknown Group,2004,17,1.5,1.5,0,0,Iraq,Baghdad,Church Karada District Wadah,33.34,44.4,Armenian Church,Civilian
Jama'at Al-Tawhid Wa'al-Jihad,2004,11,3,3,0,0,Iraq,Baghdad,Hotel Karadah District,33.34,44.4,Shaheen Hotel,Civilian
Jama'at Al-Tawhid Wa'al-Jihad,2004,7,2.5,2.5,0,0,Iraq,Baghdad,Caf_ Minutes after attack on Green Zone bazaar,33.34,44.4,Western patrons dining at Green Zone Caf_ 5,Civilian
Jama'at Al-Tawhid Wa'al-Jihad,2004,20,4.5,4.5,0,0,Iraq,Baghdad,Market Green Zone Vendor's Alley,33.34,44.4,Western patrons shopping in the market,Civilian
1920 Revolution Brigade,2004,17.5,6,6,0,0,Iraq,Baghdad,TV Station Mounsour Neighborhood,33.34,44.4,Al-Arabiya Television Offices,Civilian
Al-Qaeda in Iraq,2004,50,18,18,0,0,Iraq,Baghdad,Hotel Downtown Baghdad,33.34,44.4,Mount Lebanon Hotel,Civilian
Unknown Group,2004,230,125,85,0,0,Iraq,Baghdad,Shrine Imam Hussein Shrine,33.34,44.4,Iraqi Shia pilgrims,Civilian
Unknown Group,2004,200,58,58,0,0,Iraq,Baghdad,Shrine Khadamiya District,33.34,44.4,Kazimiya Shrine,Civilian
Al-Qaeda in Iraq,2004,19,14,14,0,0,Iraq,Baghdad,Mosque Al-Adhamiyah,33.34,44.4,Hamid Al-Alwan Mosque,Civilian
Unknown Group,2004,8,2,1,1,0,Iraq,Baghdad,Amariyah District US and Iraqi Police Convoy,33.34,44.4,unnamed Iraqi minister,Political
Jama'at Al-Tawhid Wa'al-Jihad,2004,0,4,0,0,4,Iraq,Baghdad,Ministry Compound of Environmental Minister,33.34,44.4,Minister of Environment Mishkat al-Moumin [survived],Political
Jama'at Al-Tawhid Wa'al-Jihad,2004,13,4.5,1,0,3.5,Iraq,Baghdad,Ministry Residence House of Deputy Interior Minister,33.34,44.4,Deputy Interior Minister Abdul-Jabbar Youssef Sheikhli [Survived],Political
Jama'at Al-Tawhid Wa'al-Jihad,2004,0,4.5,0,0,4.5,Iraq,Baghdad,al-Jamea neighborhood,33.34,44.4,Iraqi Justice Minister Malik al-Hassan [survived],Political
Unknown Group,2004,16.5,6,6,0,0,Iraq,Baghdad,al-Dujail City Council Building,33.34,44.4,Iraqi Civilians outside of Education Ministry,Political
Unknown Group,2004,0,5.5,1.5,0,4,Iraq,Baghdad,Caf_ At Caf_ near Australian Embassy,33.34,44.4,Australian Embassy,Political
Al-Qaeda in Iraq,2004,0,8.5,8.5,0,0,Iraq,Baghdad,Embassy Mansur district,33.34,44.4,Libyan Embassy,Political
Al-Qaeda in Iraq,2004,44.5,12,0,0,12,Iraq,Baghdad,Private Home At home of,33.34,44.4,Abdel Aziz al-Hakim leader of Supreme Council for the Islamic Revolution in Iraq (SCIRI) [survived],Political
Al-Qaeda in Iraq,2004,9,0,0,0,0,Iraq,Baghdad,Airport Road,33.34,44.4,Coaltion military checkpoint,Security
Al-Qaeda in Iraq,2004,4,0,0,0,0,Iraq,Baghdad,Main Highway Leading to Baghdad's Airport,33.34,44.4,US military patrol,Security
Unknown Group,2004,3,0,0,0,0,Iraq,Baghdad,Highway to Baghdad Airport,33.34,44.4,US military convoy,Security
Unknown Group,2004,0,0,0,0,0,Iraq,Baghdad,Highway Leading to Baghdad Airport,33.34,44.4,US military convoy,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,3,0,0,0,0,Iraq,Baghdad,Route to Baghdad Airport Near a Checkpoint,33.34,44.4,U.S. military convoy,Security
Al-Qaeda in Iraq,2004,11.5,0.5,0.5,0,0,Iraq,Baghdad,Baghdad Airport,33.34,44.4,U.S. Military Patrol in Bagdhad Airport,Security
Unknown Group,2004,12,1,0,0,1,Iraq,Baghdad,Entrance to Green Zone,33.34,44.4,Iraqi Army checkpoint,Security
Unknown Group,2004,42.5,1.5,1,0,0.5,Iraq,Baghdad,Mahmudiyah,33.34,44.4,Iraqi National Guard Headquarters,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,7.5,2,0,0,2,Iraq,Baghdad,Route to Baghdad Airport After the First Attack against Convoy Near a Checkpoint,33.34,44.4,U.S. military convoy,Security
Unknown Group,2004,11.5,2,1.5,0,0.5,Iraq,Baghdad,Palestine street,33.34,44.4,Iraqi Police checkpoint,Security
Al-Qaeda in Iraq,2004,13,2.5,2.5,0,0,Iraq,Baghdad,Outside the Australian Embassy,33.34,44.4,Australian military convoy,Security
Al-Qaeda in Iraq,2004,21.5,4,0,0,4,Iraq,Baghdad,Tigris River Bridge Checkpoint,33.34,44.4,Iraqi Police checkpoint,Security
Unknown Group,2004,20,6,0,0,6,Iraq,Baghdad,near the Baghdad Hotel,33.34,44.4,Convoy of foreign private security contractors,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,22.5,6.5,5.5,0,1,Iraq,Baghdad,14th of July Bridge checkpoint at the entrance to the Green Zone,33.34,44.4,Entrance to US-Baghdad Headquarters,Security
Jaish Ansar al-Sunnah,2004,2.5,5.5,1.5,0,4,Iraq,Baghdad,Iraqi National Guard checkpoint,33.34,44.4,Iraqi National Guard,Security
Al-Qaeda in Iraq,2004,9,8,0,0,8,Iraq,Baghdad,Near Abu Ghraib Prison,33.34,44.4,US military convoy,Security
Unknown Group,2004,20,8,0,0,8,Iraq,Baghdad,south of Baghdad,33.34,44.4,Iraqi Police patrol,Security
Unknown Group,2004,12.5,5.5,5.5,0,0,Iraq,Baghdad,Al Dora neighborhood near refinery and cathedral,33.34,44.4,Iraqi Police patrol,Security
Unknown Group,2004,40,10.5,7,0,3.5,Iraq,Baghdad,Outside International Zone,33.34,44.4,Coalition miltary checkpoint,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,54,8.5,0,0,8.5,Iraq,Baghdad,Outside Shopping Center,33.34,44.4,National Guard Recruits,Security
Unknown Group,2004,18,9.5,0,0,9.5,Iraq,Baghdad,Petrol Station Rustumya District near a US-led coalition base,33.34,44.4,Iraqi Police patrol,Security
Al-Qaeda in Iraq,2004,14.5,9.5,9.5,0,0,Iraq,Baghdad,Green Zone Harthiyah Gate,33.34,44.4,Iraqi National Guard checkpoint,Security
Unknown Group,2004,82,15,0,0,15,Iraq,Baghdad,Police Recruitment Center Green zone,33.34,44.4,Iraqi Police recruits,Security
Jaish Ansar al-Sunnah,2004,45,12,0,0,12,Iraq,Baghdad,Iraqi Police station,33.34,44.4,Iraqi Police,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,55,11.5,6,0,5,Iraq,Baghdad,Tahrir Square,33.34,44.4,Convoy of Foreign (GE) Contractors,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,24,14.5,3.5,0,11,Iraq,Baghdad,Intersection Near Police Academy,33.34,44.4,Iraqi Police Academy,Security
Unknown Group,2004,21,19,19,0,0,Iraq,Baghdad,unknown,33.34,44.4,US military patrol,Security
Unknown Group,2004,109.5,27,25,0,2,Iraq,Baghdad,Main gate of US-led Coalition Headquarters in Baghdad,33.34,44.4,US Headquarters in Baghdad,Security
Unknown Group,2004,141.5,35,35,0,0,Iraq,Baghdad,Army Recruitment Center,33.34,44.4,Iraqi Army recruits,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,114,47,47,0,0,Iraq,Baghdad,Caf_ next to Police Station,33.34,44.4,Iraqi Police recruits,Security
Unknown Group,2004,35.5,45.5,0,0,42.5,Iraq,Baghdad,Iraqi Army recruting center near Green Zone,33.34,44.4,Iraqi Army recruits,Security
Al-Qaeda in Iraq,2004,11,6.5,0,1,5.5,Iraq,Baghdad,Convoy stopped at checkpoint outside US Coalition headquarters,33.34,44.4,Iraqi Governing Council president Ezzedine Salim (aka Abdel-Zahraa Othman) [killed],Security
Arab Resistance Movement - Al-Rashid Brigades,2004,11,6.5,0,1,5.5,Iraq,Baghdad,Convoy stopped at checkpoint outside US Coalition headquarters,33.34,44.4,Iraqi Governing Council president Ezzedine Salim (aka Abdel-Zahraa Othman) [killed],Security
Al-Qaeda in Iraq,2004,43.5,10,5.5,0,3,Iraq,Baghdad,Entry to Green Zone,33.34,44.4,Salihiyah Iraqi Police station,Security
Unknown Group,2004,6,2,0,0,2,Iraq,Fallujah,Near a US army camp in Fallujah,33.36,43.77,US military base,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,6,10,0,0,10,Iraq,Fallujah,Outskirts of Fallujah,33.36,43.77,U.S. military convoy,Security
Unknown Group,2004,0,0,0,0,0,Iraq,Karma,outside Iraqi National Guard base,33.399793,43.90892,Iraqi National Guard base,Security
Unknown Group,2004,3.5,1,0,0,1,Iraq,Ramadi,Home in Ramadi,33.434167,43.268611,Sheikh Amir Abdel Jabbar head of the Bu Ali Suleiman tribe supporting the US Coalition [survived],Political
Al-Qaeda in Iraq,2004,18.5,0,0,0,0,Iraq,Ramadi,Al-Fujariyah District,33.434167,43.268611,Coalition military patrol,Security
Unknown Group,2004,1,1,0,0,1,Iraq,Ramadi,checkpoint 5 km west of Ramadi,33.434167,43.268611,US military checkpoint,Security
Unknown Group,2004,9.5,9,0,0,9,Iraq,Ramadi,Al-Baghdadi,33.434167,43.268611,Iraqi Police patrol,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,40.5,7.5,7.5,0,0,Iraq,Taji,Perimeter of US base in Iraq,33.520462,44.268975,Iraqi Civil Defense Corps Base,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,37,4,4,0,0,Iraq,Baqubah,Mosque Shia mosque,33.74,44.64,Iraqi shia civilians,Civilian
Unknown Group,2004,10,0,0,0,0,Iraq,Baqubah,Roadside near a river,33.74,44.64,Convoy of Government Vehicles,Political
Jama'at Al-Tawhid Wa'al-Jihad,2004,16,6,0,1,5,Iraq,Baqubah,Baladruz,33.74,44.64,Akeel Hamid deputy governor of Diyala,Political
Unknown Group,2004,28,2,2,0,0,Iraq,Baqubah,outside police station,33.74,44.64,Iraqi Police station,Security
Unknown Group,2004,55,69,69,0,0,Iraq,Baqubah,Near Police Station,33.74,44.64,Iraqi Police recruits,Security
Unknown Group,2004,22.5,6,6,0,0,Iraq,FOB Warhorse,Baquba outside U.S. Military Base,33.79,44.6,Iraqis working on US military base,Security
Unknown Group,2004,14,4,0,2,2,Iraq,Dujail,In Front of the Municipal Council Building in Dujail,33.84,44.23,Municipal Council building,Political
Unknown Group,2004,53.5,11.5,11.5,0,0,Iraq,Khalis,Funeral for the brother of the town's Mayor,33.85,44.52,Mayor of Khalis attending the funeral [killed],Political
Unknown Group,2004,44,9,0,0,9,Iraq,Al Baghdadi,Iraqi Police training center near Al-Asad US Marine Base,33.85,42.54,Iraqi Police recruits,Security
Unknown Group,2004,6,4,0,0,4,Iraq,Ishaqi,Iraqi National Guard Checkpoint in Ishaqi,34.05,43.97,Iraqi National Guard checkpoint,Security
Unknown Group,2004,0,0,0,0,0,Iraq,Samarra,Police station west of city,34.19,43.87,Iraqi Police station,Security
Al-Qaeda in Iraq,2004,5,10,0,0,10,Iraq,Samarra,Samarra Police Station,34.19,43.87,Iraqi Police station,Security
Unknown Group,2004,18.5,9,9,0,0,Iraq,Samarra,near Nursery School,34.19,43.87,US military convoy,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,30,13,0,0,13,Iraq,Anah,Iraqi National Guard Encampment,34.37,41.98,Iraqi National Guard Recruits,Security
Unknown Group,2004,1,4,0,0,4,Iraq,Qaim,Highway Along Euphrates River,34.39,40.99,US military patrol,Security
Unknown Group,2004,0,0,0,0,0,Iraq,Tikrit,Roadside near Baghdad,34.6,43.67,American M1 Abrams battle tank,Security
Unknown Group,2004,0,4.5,1,0,3.5,Iraq,Siniyah,Roadside,34.92778,43.40417,Iraqi National Guard convoy,Security
Unknown Group,2004,2,2.5,2,0,0.5,Iraq,Bayji,Seeni Village,34.93,43.48,Joint US military and Iraqi National Guard (ING) checkpoint,Security
Unknown Group,2004,18,11,11,0,0,Iraq,Bayji,Near U.S. Army Base,34.93,43.48,US military checkpoint,Security
Unknown Group,2004,22,14.5,14.5,0,0,Iraq,Bayji,Village Market,34.93,43.48,US military convoy,Security
Unknown Group,2004,0,2,0,0,2,Iraq,Kirkuk,Near Municipal Council building,35.46,44.39,Municipal Council building,Political
Unknown Group,2004,0,2,0,0,2,Iraq,Kirkuk,Entrance to Kaiwan Iraqi National Guard base,35.46,44.39,Kaiwan Iraqi National Guard base,Security
Unknown Group,2004,45,10,0,0,10,Iraq,Kirkuk,Northern city police station,35.46,44.39,Iraqi Police station,Security
Jama'at Al-Tawhid Wa'al-Jihad,2004,28.5,14.5,1.5,0,13,Iraq,Kirkuk,Al-Ihtifalat Police Academy,35.46,44.39,Iraqi Police recruits,Security
Al-Qaeda in Iraq,2004,51,20,0,0,20,Iraq,Kirkuk,Iraqi National Guard Headquarters,35.46,44.39,Crowd of Iraqi Police recruits,Security
Ansar al-Sunna,2004,183.5,46,0,46,0,Iraq,Arbil,Political Party Headquarters Kurdish parties' offices,36.19,44.01,Patriotic Union of Kurdistan (PUK) Headquarters,Political
Ansar al-Sunna,2004,183.5,30,0,30,0,Iraq,Arbil,Political Party Headquarters N/A,36.19,44.01,Kurdistan Democratic Party (KDP) headquarters,Political
Unknown Group,2004,4,1,1,0,0,Iraq,Mosul,Vehicle-to-vehicle collision attack,36.33,43.11,Civilian convoy,Civilian
Unknown Group,2004,15,5,5,0,0,Iraq,Mosul,Bridge Iraqi bridge in Mosul,36.33,43.11,Iraqi civilians,Civilian
Jama'at Al-Tawhid Wa'al-Jihad,2004,195,56,9.5,0,20.5,Iraq,Mosul,Hospital Occurred at same time as attack on Police Station and Police Academy,36.33,43.11,Al-Jumhuri Hospital,Civilian
Unknown Group,2004,11,6,0,0,6,Iraq,Mosul,Primary School Residential suburb road,36.33,43.11,Primary School,Civilian
